Membership No  Date Joined  Active  
    10456      2016-11-23   no    
    73597      2016-11-11   no    
    59355      2016-12-25   no    
    74948      2020-1-23    no    
    15621      2015-11-3    no    
    30090      2018-3-14    no    
    12508      2020-7-13    no    
    38793      2020-1-9     no    
    97831      2015-5-15    no    
    58993      2020-12-1    no    
    65047      2017-6-21    no    
    93532      2018-8-17    no    
    82946      2015-7-22    no    
    25954      2017-6-11    no    
    50966      2020-4-24    no    
    25280      2017-3-7     no    
    78310      2018-5-2     no    
