Membership No  Date Joined  Active  
    37801      2020-5-13    no    
    36798      2020-9-7     no    
    24872      2020-11-24   no    
    37400      2017-10-9    no    
    24910      2016-11-8    no    
    51228      2017-2-4     no    
    66248      2019-6-7     no    
    60953      2017-7-16    no    
    66692      2019-9-18    no    
    27992      2020-5-25    no    
    89017      2017-8-9     no    
    79464      2018-4-15    no    
    11212      2020-9-20    no    
    19821      2019-8-7     no    
    43182      2018-2-4     no    
    87859      2015-9-19    no    
